close,high,low,date
"22,758.00","22,762.50","22,757.00",20180312
"22,760.00","22,763.50","22,757.00",20183209
"22,756.00","22,761.50","22,755.50",20183208
"22,759.00","22,770.50","22,757.50",20183207
"22,769.00","22,773.00","22,766.00",20183206
"22,765.00","22,769.00","22,761.00",20183205
"22,760.00","22,764.50","22,759.00",20183202
"22,750.00","22,758.00","22,749.00",20183201
"22,756.00","22,759.50","22,749.00",20180228
"22,750.00","22,751.50","22,742.50",20180227
"22,732.00","22,747.50","22,736.50",20180226
"22,740.00","22,742.50","22,736.00",20180223
"22,710.00","22,729.00","22,712.50",20180222
"22,715.00","22,722.00","22,697.50",20180221
"22,685.00","22,700.50","22,692.50",20180220
"22,695.00","22,695.00","22,695.00",20180219
"22,695.00","22,712.50","22,705.00",20180216
"22,695.00","22,695.00","22,695.00",20180215
"22,695.00","22,710.00","22,707.50",20180214
"22,700.00","22,720.00","22,692.50",20180213
"22,702.00","22,708.50","22,689.50",20180212
"22,690.00","22,709.50","22,685.50",20182209
"22,698.00","22,708.50","22,683.50",20182208
"22,691.00","22,712.00","22,694.00",20182207
"22,700.00","22,715.00","22,705.00",20182206
"22,695.00","22,729.00","22,702.50",20182205
"22,709.00","22,710.50","22,708.00",20182202
"22,709.00","22,711.00","22,702.50",20182201
"22,700.00","22,715.00","22,704.50",20180131
"22,700.00","22,715.50","22,705.00",20180130
"22,701.00","22,715.50","22,705.30",20180129
"22,710.00","22,711.00","22,708.50",20180126
"22,701.00","22,718.00","22,705.50",20180125
"22,696.00","22,718.00","22,703.00",20180124
"22,710.00","22,711.00","22,708.00",20180123
"22,701.00","22,715.50","22,705.00",20180122
"22,700.00","22,718.00","22,705.00",20180119
"22,701.00","22,719.50","22,706.00",20180118
"22,700.00","22,718.00","22,704.50",20180117
"22,710.00","22,729.00","22,707.00",20180116
"22,709.00","22,710.50","22,706.90",20180115
"22,708.00","22,710.50","22,707.00",20180112
"22,695.00","22,714.50","22,702.00",20180111
"22,701.00","22,718.50","22,705.40",20180110
"22,709.00","22,710.50","22,707.40",20181209
"22,700.00","22,717.50","22,704.50",20181208
"22,709.00","22,711.00","22,707.00",20181205
"22,710.00","22,718.00","22,705.50",20181204
"22,708.00","22,711.00","22,708.00",20181203
"22,700.00","22,715.50","22,705.00",20181202
"22,700.00","22,700.00","22,700.00",20181201
"22,700.00","22,714.50","22,701.50",20171229
"22,710.00","22,712.50","22,708.00",20171228
"22,710.00","22,712.50","22,709.00",20171227
"22,690.00","22,713.50","22,700.00",20171226
"22,710.50","22,713.00","22,710.00",20171225
"22,701.00","22,719.00","22,706.50",20171222
"22,705.00","22,719.50","22,706.00",20171221
"22,700.00","22,719.80","22,707.00",20171220
"22,701.00","22,721.00","22,707.00",20171219
"22,714.00","22,717.80","22,711.00",20171218
"22,700.00","22,721.50","22,708.00",20171215
"22,705.00","22,720.00","22,708.50",20171214
"22,701.00","22,719.00","22,706.00",20171213
"22,701.00","22,729.00","22,706.00",20171212
"22,700.00","22,717.00","22,705.50",20171211
"22,710.00","22,717.50","22,710.00",20171208
"22,701.00","22,720.50","22,707.00",20171207
"22,705.00","22,720.00","22,710.00",20171206
"22,705.00","22,722.00","22,708.00",20171205
"22,702.00","22,727.50","22,708.50",20171204
"22,700.00","22,727.50","22,707.50",20171201
"22,705.00","22,727.50","22,711.50",20171130
"22,715.00","22,725.00","22,708.00",20171129
"22,705.00","22,726.50","22,710.00",20171128
"22,715.00","22,729.00","22,717.50",20171127
"22,715.00","22,731.50","22,719.00",20171124
"22,727.00","22,731.00","22,716.50",20171123
"22,715.00","22,729.00","22,714.50",20171122
"22,700.00","22,718.00","22,706.50",20171121
"22,700.00","22,729.00","22,705.00",20171120
"22,712.00","22,714.00","22,709.50",20171117
"22,701.00","22,716.00","22,705.00",20171116
"22,701.00","22,717.00","22,706.00",20171115
"22,710.00","22,716.50","22,710.00",20171114
"22,695.00","22,716.50","22,698.00",20171113
"22,701.00","22,720.00","22,707.50",20171110
"22,700.00","22,719.50","22,704.00",20171109
"22,700.00","22,716.50","22,706.50",20171108
"22,701.00","22,719.30","22,706.50",20171107
"22,705.00","22,719.00","22,708.50",20171106
"22,700.00","22,719.00","22,706.00",20171103
"22,700.00","22,719.50","22,706.00",20171102
"22,701.00","22,723.00","22,706.50",20171101
"22,700.00","22,721.50","22,706.50",20171031
"22,700.00","22,719.00","22,708.50",20171030
"22,700.00","22,722.00","22,708.50",20171027
"22,720.00","22,725.50","22,718.00",20171026
"22,720.00","22,733.50","22,719.00",20171025
"22,719.00","22,730.00","22,719.00",20171024
"22,723.00","22,723.50","22,716.50",20171023
"22,718.00","22,719.50","22,716.50",20171020
